android,genre,review_ratting,size_pro
0.0,16.0,1.0,0.0
0.0,16.0,1.0,0.0
0.0,16.0,3.0,0.0
0.0,16.0,4.0,0.0
0.0,16.0,3.0,0.0
5.0,16.0,4.0,6.0
5.0,16.0,5.0,6.0
5.0,16.0,1.0,6.0
5.0,16.0,1.0,6.0
5.0,16.0,1.0,6.0
5.0,16.0,2.0,6.0
4.03,16.0,1.0,8.0
4.03,16.0,3.0,8.0
4.03,16.0,2.0,8.0
4.03,16.0,4.0,8.0
4.0,3.0,1.0,4.0
4.0,3.0,3.0,4.0
4.0,3.0,1.0,4.0
4.1,22.0,5.0,12.0
4.1,22.0,3.0,12.0
4.1,22.0,5.0,12.0
4.4,7.0,1.0,14.0
4.4,7.0,4.0,14.0
4.4,7.0,1.0,14.0
4.4,7.0,5.0,14.0
4.4,7.0,5.0,14.0
0.0,7.0,4.0,0.0
0.0,7.0,1.0,0.0
0.0,7.0,4.0,0.0
0.0,7.0,5.0,0.0
4.2,18.0,3.0,17.0
4.2,18.0,5.0,17.0
4.2,18.0,1.0,17.0
4.2,18.0,4.0,17.0
4.2,18.0,2.0,17.0
4.2,18.0,1.0,17.0
4.2,18.0,4.0,17.0
4.2,18.0,3.0,17.0
0.0,18.0,1.0,0.0
0.0,18.0,4.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,4.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,5.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,1.0,0.0
0.0,6.0,1.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,2.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,1.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,4.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,1.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,2.0,0.0
0.0,19.0,5.0,0.0
4.0,5.0,1.0,5.0
4.0,5.0,5.0,5.0
4.0,5.0,4.0,5.0
4.0,5.0,5.0,5.0
0.0,7.0,5.0,0.0
0.0,7.0,5.0,0.0
0.0,7.0,4.0,0.0
0.0,7.0,3.0,0.0
0.0,7.0,4.0,0.0
4.4,19.0,2.0,11.0
4.4,19.0,1.0,11.0
4.4,19.0,2.0,11.0
4.4,19.0,3.0,11.0
4.4,19.0,5.0,11.0
4.4,19.0,5.0,11.0
4.0,7.0,5.0,11.0
4.0,7.0,5.0,11.0
4.0,7.0,5.0,11.0
4.0,7.0,1.0,11.0
4.0,7.0,5.0,11.0
4.0,7.0,5.0,11.0
0.0,2.0,4.0,0.0
0.0,2.0,3.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,1.0,0.0
5.0,2.0,1.0,19.0
5.0,2.0,1.0,19.0
5.0,2.0,2.0,19.0
5.0,2.0,1.0,19.0
0.0,15.0,1.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,1.0,0.0
0.0,15.0,2.0,0.0
0.0,15.0,2.0,0.0
4.03,15.0,1.0,9.0
4.03,15.0,1.0,9.0
4.03,15.0,1.0,9.0
4.03,15.0,1.0,9.0
4.03,15.0,1.0,9.0
0.0,2.0,2.0,0.0
0.0,2.0,2.0,0.0
0.0,2.0,1.0,0.0
0.0,2.0,4.0,0.0
0.0,2.0,4.0,0.0
4.03,2.0,5.0,4.0
4.03,2.0,5.0,4.0
4.03,2.0,1.0,4.0
4.03,2.0,5.0,4.0
4.1,3.0,5.0,2.0
4.1,3.0,5.0,2.0
4.1,3.0,5.0,2.0
4.1,3.0,1.0,2.0
2.3,3.0,4.0,20.0
2.3,3.0,1.0,20.0
2.3,3.0,5.0,20.0
2.3,3.0,5.0,20.0
0.0,18.0,4.0,0.0
0.0,18.0,1.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,5.0,0.0
4.2,18.0,5.0,16.0
4.2,18.0,1.0,16.0
4.2,18.0,4.0,16.0
4.2,18.0,5.0,16.0
4.2,18.0,5.0,16.0
4.4,16.0,1.0,1.0
4.4,16.0,5.0,1.0
4.4,16.0,4.0,1.0
4.4,16.0,3.0,1.0
0.0,16.0,3.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,1.0,0.0
0.0,16.0,2.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,4.0,0.0
5.0,5.0,5.0,7.0
5.0,5.0,5.0,7.0
5.0,5.0,4.0,7.0
5.0,5.0,1.0,7.0
4.4,18.0,1.0,0.0
4.4,18.0,1.0,0.0
4.4,18.0,4.0,0.0
4.3,4.0,3.0,0.0
4.3,4.0,4.0,0.0
4.3,4.0,4.0,0.0
4.3,4.0,5.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,2.0,0.0
0.0,4.0,1.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,3.0,0.0
4.2,20.0,4.0,6.0
4.2,20.0,5.0,6.0
4.2,20.0,5.0,6.0
4.2,20.0,1.0,6.0
4.2,20.0,1.0,6.0
4.1,20.0,4.0,5.0
4.1,20.0,5.0,5.0
4.1,20.0,1.0,5.0
4.1,20.0,5.0,5.0
4.1,20.0,4.0,5.0
4.1,20.0,4.0,5.0
4.03,20.0,4.0,12.0
4.03,20.0,1.0,12.0
4.03,20.0,1.0,12.0
4.03,20.0,1.0,12.0
0.0,17.0,5.0,0.0
0.0,17.0,5.0,0.0
0.0,17.0,5.0,0.0
0.0,17.0,1.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,3.0,0.0
4.3,5.0,5.0,0.0
4.3,5.0,5.0,0.0
4.3,5.0,3.0,0.0
4.3,5.0,5.0,0.0
4.3,5.0,1.0,0.0
2.3,5.0,5.0,0.0
2.3,5.0,3.0,0.0
2.3,5.0,2.0,0.0
2.3,5.0,3.0,0.0
4.03,5.0,1.0,12.0
4.03,5.0,1.0,12.0
4.03,5.0,1.0,12.0
4.03,5.0,3.0,12.0
4.03,5.0,5.0,12.0
4.03,5.0,2.0,12.0
4.03,5.0,3.0,12.0
0.0,5.0,2.0,0.0
0.0,5.0,4.0,0.0
0.0,5.0,5.0,0.0
0.0,5.0,2.0,0.0
0.0,5.0,1.0,0.0
0.0,5.0,3.0,0.0
0.0,5.0,2.0,0.0
0.0,5.0,2.0,0.0
0.0,5.0,5.0,0.0
0.0,16.0,1.0,0.0
0.0,16.0,1.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,5.0,0.0
5.0,16.0,3.0,11.0
5.0,16.0,3.0,11.0
